algo,scenario,map,start,goal,time_us,reachable,reached_goal,opt_ratio,first_move_correct
astar-dial-cheb,no_roads,arena,126,25,63.6,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,308,275,101.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,252,156,45.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,115,613,352.5,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,99,473,139.6,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,32,30,16.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,105,247,267.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,262,572,188.5,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,27,222,290.5,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,613,470,45.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,249,502,315.1,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,311,6,183.6,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,178,473,324.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,381,311,42.4,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,174,242,47.8,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,375,115,187.7,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,104,427,154.3,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,110,404,166.1,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,388,297,115.9,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,44,514,261.5,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,604,139,241.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,425,88,149.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,620,328,189.5,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,407,214,84.3,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,78,46,222.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,257,324,351.8,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,89,262,58.7,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,114,427,225.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,311,508,95.3,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,410,181,115.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,416,399,157.9,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,233,300,105.4,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,80,191,145.5,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,601,275,90.4,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,182,518,218.1,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,426,303,29.4,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,248,363,107.6,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,57,258,91.5,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,32,354,190.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,450,301,35.3,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,74,235,132.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,352,236,103.3,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,566,445,42.7,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,513,160,230.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,298,156,254.9,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,277,606,166.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,296,480,263.1,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,448,407,242.7,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,248,155,264.6,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,576,553,15.6,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,103,48,269.8,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,124,170,24.9,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,178,473,350.9,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,72,433,172.5,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,429,524,351.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,596,282,149.4,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,621,11,336.1,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,129,604,286.4,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,300,381,42.8,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,126,328,76.7,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,488,176,214.1,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,508,3,319.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,296,567,142.8,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,199,574,170.3,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,119,334,102.9,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,574,222,140.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,170,419,122.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,180,607,282.3,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,598,0,333.9,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,362,548,179.3,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,19,126,203.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,408,344,165.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,269,59,113.5,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,270,88,81.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,97,545,229.8,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,77,600,268.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,140,144,35.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,533,617,87.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,184,298,253.1,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,595,474,38.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,235,607,288.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,224,349,28.1,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,448,419,33.9,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,491,584,95.8,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,506,135,297.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,278,254,10.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,72,377,284.5,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,21,622,328.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,259,249,303.3,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,7,79,18.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,60,258,85.8,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,76,32,51.6,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,369,79,239.8,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,581,267,131.4,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,313,545,116.6,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,238,607,298.8,1,1,1.000000,1
