algo,scenario,map,start,goal,n_goals,total_time_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
bug-bfsbug,no_roads,arena,126,25,1,18.285000,1,1,1.000000,1,12,4,625
bug-bfsbug,with_roads,arena,126,25,1,9.959000,1,1,1.000000,1,4,4,625
bug-bfsbug,no_roads,bar_chart,319,72,1,164.679000,1,1,1.000000,1,21,7,1400
bug-bfsbug,with_roads,bar_chart,319,72,1,165.777000,1,1,1.000000,1,21,7,1400
bug-bfsbug,no_roads,battlebot,443,79,1,1318.621000,1,1,1.000000,1,57,19,609
bug-bfsbug,with_roads,battlebot,443,79,1,1495.503000,1,1,1.000000,1,57,19,609
bug-bfsbug,no_roads,bear_of_doom,268,66,1,3407.598000,0,0,,,0,0,441
bug-bfsbug,with_roads,bear_of_doom,268,66,1,3551.780000,0,0,,,0,0,441
bug-bfsbug,no_roads,binary_tree,758,124,1,2065.791000,1,1,1.000000,1,60,20,1230
bug-bfsbug,with_roads,binary_tree,758,124,1,2170.721000,1,1,1.333333,1,56,20,1230
bug-bfsbug,no_roads,building_blocks,1894,295,1,9009.661000,0,0,,,0,0,2401
bug-bfsbug,with_roads,building_blocks,1894,295,1,8876.398000,0,0,,,0,0,2401
bug-bfsbug,no_roads,butterfly,133,25,1,1569.959000,1,1,1.000000,1,48,16,961
bug-bfsbug,with_roads,butterfly,133,25,1,1488.408000,1,1,1.000000,1,48,16,961
bug-bfsbug,no_roads,castle_keep,1647,244,1,6360.608000,1,1,2.057143,0,216,72,2401
bug-bfsbug,with_roads,castle_keep,1647,244,1,6054.385000,1,1,2.523810,1,212,72,2401
bug-bfsbug,no_roads,chemistry_class,1475,228,1,4676.757000,1,1,1.281250,0,123,41,1600
bug-bfsbug,with_roads,chemistry_class,1475,228,1,4610.595000,1,1,1.451220,0,119,41,1600
bug-bfsbug,no_roads,chess,2190,524,1,3174.734000,1,1,1.000000,1,102,34,2401
bug-bfsbug,with_roads,chess,2190,524,1,3759.727000,1,1,1.305556,1,94,34,2401
bug-bfsbug,no_roads,cinnamon_roll,842,128,1,2782.836000,1,1,1.000000,1,72,24,900
bug-bfsbug,with_roads,cinnamon_roll,842,128,1,2421.248000,1,1,1.478261,1,68,24,900
bug-bfsbug,no_roads,clash_arena,493,95,1,14501.818000,0,0,,,0,0,672
bug-bfsbug,with_roads,clash_arena,493,95,1,14304.506000,0,0,,,0,0,672
bug-bfsbug,no_roads,climbing_wall,780,127,1,2746.477000,1,1,1.000000,1,99,33,1000
bug-bfsbug,with_roads,climbing_wall,780,127,1,2752.189000,1,1,1.309859,1,93,33,1000
bug-bfsbug,no_roads,coffee,1738,285,1,2991.008000,1,1,1.033333,0,93,31,2500
bug-bfsbug,with_roads,coffee,1738,285,1,2902.471000,1,1,1.033333,0,93,31,2500
bug-bfsbug,no_roads,cold,259,51,1,1202.306000,1,1,1.000000,1,42,14,1369
bug-bfsbug,with_roads,cold,259,51,1,1225.832000,1,1,1.176471,0,40,14,1369
bug-bfsbug,no_roads,corridors,867,121,1,1058.638000,1,1,1.000000,1,72,24,961
bug-bfsbug,with_roads,corridors,867,121,1,1047.712000,1,1,1.000000,1,72,24,961
bug-bfsbug,no_roads,craters,1136,308,1,3454.170000,1,1,1.176471,1,120,40,1500
bug-bfsbug,with_roads,craters,1136,308,1,3370.403000,1,1,1.643836,1,120,40,1500
bug-bfsbug,no_roads,cubes,1665,300,1,4576.992000,1,1,1.645161,1,153,51,2500
bug-bfsbug,with_roads,cubes,1665,300,1,4609.039000,1,1,2.114754,1,129,51,2500
bug-bfsbug,no_roads,default_large1,1441,264,1,3426.250000,1,1,1.032258,1,96,32,1600
bug-bfsbug,with_roads,default_large1,1441,264,1,3565.080000,1,1,1.287671,1,94,32,1600
bug-bfsbug,no_roads,default_large2,238,51,1,3036.387000,1,1,1.000000,1,111,37,1500
bug-bfsbug,with_roads,default_large2,238,51,1,3315.721000,1,1,1.693548,0,105,37,1500
bug-bfsbug,no_roads,default_medium1,724,119,1,4574.352000,1,1,1.517241,1,132,44,900
bug-bfsbug,with_roads,default_medium1,724,119,1,4549.435000,1,1,1.555556,0,126,44,900
bug-bfsbug,no_roads,default_medium2,722,122,1,1725.576000,1,1,1.000000,1,60,20,900
bug-bfsbug,with_roads,default_medium2,722,122,1,1760.141000,1,1,1.687500,1,54,20,900
bug-bfsbug,no_roads,default_small1,366,58,1,1453.694000,1,1,1.000000,1,48,16,400
bug-bfsbug,with_roads,default_small1,366,58,1,1485.388000,1,1,1.000000,1,48,16,400
bug-bfsbug,no_roads,default_small2,393,59,1,1235.014000,1,1,1.000000,1,48,16,441
bug-bfsbug,with_roads,default_small2,393,59,1,1221.737000,1,1,1.000000,1,48,16,441
bug-bfsbug,no_roads,dna,864,133,1,12684.172000,0,0,,,0,0,1050
bug-bfsbug,with_roads,dna,864,133,1,12478.277000,0,0,,,0,0,1050
bug-bfsbug,no_roads,donut,808,133,1,8949.716000,0,0,,,0,0,1225
bug-bfsbug,with_roads,donut,808,133,1,8795.013000,0,0,,,0,0,1225
bug-bfsbug,no_roads,drawing_circles_is_hard,1652,269,1,2857.529000,1,1,1.066667,1,96,32,2500
bug-bfsbug,with_roads,drawing_circles_is_hard,1652,269,1,3129.693000,1,1,1.548387,1,96,32,2500
bug-bfsbug,no_roads,face,377,74,1,1272.203000,1,1,1.000000,1,45,15,400
bug-bfsbug,with_roads,face,377,74,1,1220.787000,1,1,1.000000,1,45,15,400
bug-bfsbug,no_roads,first_sound,210,25,1,280.629000,1,1,1.000000,1,27,9,861
bug-bfsbug,with_roads,first_sound,210,25,1,236.964000,1,1,1.000000,1,27,9,861
bug-bfsbug,no_roads,flappy_bird,196,44,1,5125.130000,0,0,,,0,0,800
bug-bfsbug,with_roads,flappy_bird,196,44,1,4785.342000,0,0,,,0,0,800
bug-bfsbug,no_roads,flowers,1729,296,1,4120.881000,1,1,1.000000,1,120,40,1849
bug-bfsbug,with_roads,flowers,1729,296,1,4178.821000,1,1,2.040000,0,102,40,1849
bug-bfsbug,no_roads,galaxy,1467,235,1,3349.942000,1,1,1.032258,1,96,32,1600
bug-bfsbug,with_roads,galaxy,1467,235,1,3354.710000,1,1,1.032258,1,96,32,1600
bug-bfsbug,no_roads,gaussian,124,25,1,429.466000,1,1,1.000000,1,21,7,700
bug-bfsbug,with_roads,gaussian,124,25,1,418.328000,1,1,1.000000,1,21,7,700
bug-bfsbug,no_roads,git_branches,1707,228,1,19905.480000,0,0,,,0,0,1750
bug-bfsbug,with_roads,git_branches,1707,228,1,19774.111000,0,0,,,0,0,1750
bug-bfsbug,no_roads,hooks,793,131,1,2061.295000,1,1,1.086957,1,75,25,961
bug-bfsbug,with_roads,hooks,793,131,1,2109.524000,1,1,1.325581,1,57,25,961
bug-bfsbug,no_roads,hopscotch,281,62,1,449.829000,1,1,1.000000,1,21,7,1240
bug-bfsbug,with_roads,hopscotch,281,62,1,356.273000,1,1,1.666667,0,15,7,1240
bug-bfsbug,no_roads,hourglass,792,136,1,6449.622000,0,0,,,0,0,1215
bug-bfsbug,with_roads,hourglass,792,136,1,6702.026000,0,0,,,0,0,1215
bug-bfsbug,no_roads,labyrinth,1977,334,1,36680.672000,1,1,3.611429,0,1896,632,2500
bug-bfsbug,with_roads,labyrinth,1977,334,1,37506.996000,1,1,7.013699,0,1536,632,2500
bug-bfsbug,no_roads,landscape,796,114,1,2067.752000,1,1,1.000000,1,69,23,900
bug-bfsbug,with_roads,landscape,796,114,1,2069.864000,1,1,1.000000,1,69,23,900
bug-bfsbug,no_roads,mandelbrot,1578,280,1,2976.919000,1,1,1.000000,1,78,26,2050
bug-bfsbug,with_roads,mandelbrot,1578,280,1,2985.085000,1,1,1.000000,1,78,26,2050
bug-bfsbug,no_roads,metropolitan_dystopia,1815,305,1,18165.876000,1,1,2.312000,0,867,289,2500
bug-bfsbug,with_roads,metropolitan_dystopia,1815,305,1,18215.814000,1,1,3.060837,0,805,289,2500
bug-bfsbug,no_roads,minimaze,478,84,1,1500.445000,1,1,1.000000,1,57,19,625
bug-bfsbug,with_roads,minimaze,478,84,1,1489.890000,1,1,1.000000,1,57,19,625
bug-bfsbug,no_roads,perch_point,825,134,1,2148.286000,1,1,1.043478,1,72,24,900
bug-bfsbug,with_roads,perch_point,825,134,1,2189.571000,1,1,1.220339,1,72,24,900
bug-bfsbug,no_roads,pixel_forest,839,135,1,441.758000,0,0,,,0,0,1125
bug-bfsbug,with_roads,pixel_forest,839,135,1,428.520000,0,0,,,0,0,1125
bug-bfsbug,no_roads,pls_buy_cucats_merch,493,103,1,503.168000,1,1,1.000000,1,24,8,2401
bug-bfsbug,with_roads,pls_buy_cucats_merch,493,103,1,485.609000,1,1,1.090909,0,24,8,2401
bug-bfsbug,no_roads,pong,1634,281,1,2423.476000,1,1,1.000000,1,81,27,1750
bug-bfsbug,with_roads,pong,1634,281,1,2472.796000,1,1,1.000000,1,81,27,1750
bug-bfsbug,no_roads,rush_bait,1071,153,1,6876.765000,1,1,1.492308,1,291,97,1225
bug-bfsbug,with_roads,rush_bait,1071,153,1,6755.878000,1,1,2.490741,0,269,97,1225
bug-bfsbug,no_roads,separated,1600,274,1,30752.955000,1,1,5.088889,0,1374,458,2500
bug-bfsbug,with_roads,separated,1600,274,1,31900.388000,1,1,5.088889,0,1374,458,2500
bug-bfsbug,no_roads,settlement,1543,260,1,4567.253000,1,1,1.105263,1,126,42,1900
bug-bfsbug,with_roads,settlement,1543,260,1,4810.257000,1,1,1.200000,0,126,42,1900
bug-bfsbug,no_roads,shish_kebab,391,62,1,1596.919000,1,1,1.058824,1,54,18,400
bug-bfsbug,with_roads,shish_kebab,391,62,1,1557.037000,1,1,2.571429,0,54,18,400
bug-bfsbug,no_roads,shrub,128,27,1,1275.867000,1,1,1.000000,1,60,20,900
bug-bfsbug,with_roads,shrub,128,27,1,1226.062000,1,1,1.000000,1,60,20,900
bug-bfsbug,no_roads,sierpinski_evil,920,124,1,644.319000,0,0,,,0,0,961
bug-bfsbug,with_roads,sierpinski_evil,920,124,1,635.165000,0,0,,,0,0,961
bug-bfsbug,no_roads,socket,167,35,1,8443.760000,1,1,6.280000,0,471,157,1000
bug-bfsbug,with_roads,socket,167,35,1,8237.966000,1,1,8.655172,0,251,157,1000
bug-bfsbug,no_roads,spikes,162,35,1,8576.623000,1,1,2.372549,0,363,121,1000
bug-bfsbug,with_roads,spikes,162,35,1,8896.388000,1,1,4.150685,0,303,121,1000
bug-bfsbug,no_roads,starry_night,1550,251,1,3164.535000,1,1,1.615385,1,126,42,2050
bug-bfsbug,with_roads,starry_night,1550,251,1,3232.643000,1,1,1.615385,1,126,42,2050
