algo,scenario,map,start,time_us,exact,worst_ratio
dijkstra-dial-skip,no_roads,arena,126,273.345000,1,1.000000
dijkstra-dial-skip,no_roads,arena,25,194.167000,1,1.000000
dijkstra-dial-skip,no_roads,arena,308,179.348000,1,1.000000
dijkstra-dial-skip,no_roads,arena,275,194.397000,1,1.000000
dijkstra-dial-skip,no_roads,arena,252,186.541000,1,1.000000
dijkstra-dial-skip,no_roads,arena,156,182.658000,1,1.000000
dijkstra-dial-skip,no_roads,arena,115,188.196000,1,1.000000
dijkstra-dial-skip,no_roads,arena,613,217.028000,1,1.000000
dijkstra-dial-skip,no_roads,arena,99,191.877000,1,1.000000
dijkstra-dial-skip,no_roads,arena,473,196.126000,1,1.000000
dijkstra-dial-skip,no_roads,arena,32,185.436000,1,1.000000
dijkstra-dial-skip,no_roads,arena,30,189.264000,1,1.000000
dijkstra-dial-skip,no_roads,arena,105,195.069000,1,1.000000
dijkstra-dial-skip,no_roads,arena,247,266.777000,1,1.000000
dijkstra-dial-skip,no_roads,arena,262,236.939000,1,1.000000
dijkstra-dial-skip,no_roads,arena,572,188.391000,1,1.000000
dijkstra-dial-skip,no_roads,arena,27,202.024000,1,1.000000
dijkstra-dial-skip,no_roads,arena,222,185.866000,1,1.000000
dijkstra-dial-skip,no_roads,arena,613,201.329000,1,1.000000
dijkstra-dial-skip,no_roads,arena,470,185.915000,1,1.000000
dijkstra-dial-skip,no_roads,arena,249,199.955000,1,1.000000
dijkstra-dial-skip,no_roads,arena,502,190.644000,1,1.000000
dijkstra-dial-skip,no_roads,arena,311,219.460000,1,1.000000
dijkstra-dial-skip,no_roads,arena,6,185.605000,1,1.000000
dijkstra-dial-skip,no_roads,arena,178,192.555000,1,1.000000
dijkstra-dial-skip,no_roads,arena,473,207.066000,1,1.000000
dijkstra-dial-skip,no_roads,arena,381,192.056000,1,1.000000
dijkstra-dial-skip,no_roads,arena,311,196.788000,1,1.000000
dijkstra-dial-skip,no_roads,arena,174,236.182000,1,1.000000
dijkstra-dial-skip,no_roads,arena,242,209.285000,1,1.000000
dijkstra-dial-skip,no_roads,arena,375,204.905000,1,1.000000
dijkstra-dial-skip,no_roads,arena,115,200.636000,1,1.000000
dijkstra-dial-skip,no_roads,arena,104,186.840000,1,1.000000
dijkstra-dial-skip,no_roads,arena,427,190.966000,1,1.000000
dijkstra-dial-skip,no_roads,arena,110,183.602000,1,1.000000
dijkstra-dial-skip,no_roads,arena,404,183.720000,1,1.000000
dijkstra-dial-skip,no_roads,arena,388,182.285000,1,1.000000
dijkstra-dial-skip,no_roads,arena,297,198.954000,1,1.000000
dijkstra-dial-skip,no_roads,arena,44,195.823000,1,1.000000
dijkstra-dial-skip,no_roads,arena,514,180.806000,1,1.000000
dijkstra-dial-skip,no_roads,arena,604,189.503000,1,1.000000
dijkstra-dial-skip,no_roads,arena,139,200.888000,1,1.000000
dijkstra-dial-skip,no_roads,arena,425,191.575000,1,1.000000
dijkstra-dial-skip,no_roads,arena,88,199.403000,1,1.000000
dijkstra-dial-skip,no_roads,arena,620,200.712000,1,1.000000
dijkstra-dial-skip,no_roads,arena,328,182.128000,1,1.000000
dijkstra-dial-skip,no_roads,arena,407,187.628000,1,1.000000
dijkstra-dial-skip,no_roads,arena,214,183.599000,1,1.000000
dijkstra-dial-skip,no_roads,arena,78,186.769000,1,1.000000
dijkstra-dial-skip,no_roads,arena,46,191.793000,1,1.000000
dijkstra-dial-skip,no_roads,arena,257,245.834000,1,1.000000
dijkstra-dial-skip,no_roads,arena,324,173.001000,1,1.000000
dijkstra-dial-skip,no_roads,arena,89,183.780000,1,1.000000
dijkstra-dial-skip,no_roads,arena,262,156.445000,1,1.000000
dijkstra-dial-skip,no_roads,arena,114,168.379000,1,1.000000
dijkstra-dial-skip,no_roads,arena,427,156.500000,1,1.000000
dijkstra-dial-skip,no_roads,arena,311,280.854000,1,1.000000
dijkstra-dial-skip,no_roads,arena,508,241.843000,1,1.000000
dijkstra-dial-skip,no_roads,arena,410,170.949000,1,1.000000
dijkstra-dial-skip,no_roads,arena,181,201.715000,1,1.000000
dijkstra-dial-skip,no_roads,arena,416,174.651000,1,1.000000
dijkstra-dial-skip,no_roads,arena,399,205.233000,1,1.000000
dijkstra-dial-skip,no_roads,arena,233,195.581000,1,1.000000
dijkstra-dial-skip,no_roads,arena,300,187.279000,1,1.000000
dijkstra-dial-skip,no_roads,arena,80,192.894000,1,1.000000
dijkstra-dial-skip,no_roads,arena,191,195.984000,1,1.000000
dijkstra-dial-skip,no_roads,arena,601,198.638000,1,1.000000
dijkstra-dial-skip,no_roads,arena,275,211.812000,1,1.000000
dijkstra-dial-skip,no_roads,arena,182,181.063000,1,1.000000
dijkstra-dial-skip,no_roads,arena,518,196.066000,1,1.000000
dijkstra-dial-skip,no_roads,arena,426,300.849000,1,1.000000
dijkstra-dial-skip,no_roads,arena,303,280.040000,1,1.000000
dijkstra-dial-skip,no_roads,arena,248,201.536000,1,1.000000
dijkstra-dial-skip,no_roads,arena,363,192.100000,1,1.000000
dijkstra-dial-skip,no_roads,arena,57,198.055000,1,1.000000
dijkstra-dial-skip,no_roads,arena,258,181.354000,1,1.000000
dijkstra-dial-skip,no_roads,arena,32,188.388000,1,1.000000
dijkstra-dial-skip,no_roads,arena,354,185.210000,1,1.000000
dijkstra-dial-skip,no_roads,arena,450,191.632000,1,1.000000
dijkstra-dial-skip,no_roads,arena,301,198.832000,1,1.000000
dijkstra-dial-skip,no_roads,arena,74,189.869000,1,1.000000
dijkstra-dial-skip,no_roads,arena,235,205.972000,1,1.000000
dijkstra-dial-skip,no_roads,arena,352,186.328000,1,1.000000
dijkstra-dial-skip,no_roads,arena,236,179.229000,1,1.000000
dijkstra-dial-skip,no_roads,arena,566,298.810000,1,1.000000
dijkstra-dial-skip,no_roads,arena,445,212.610000,1,1.000000
dijkstra-dial-skip,no_roads,arena,513,207.147000,1,1.000000
dijkstra-dial-skip,no_roads,arena,160,184.673000,1,1.000000
dijkstra-dial-skip,no_roads,arena,298,185.428000,1,1.000000
dijkstra-dial-skip,no_roads,arena,156,186.722000,1,1.000000
dijkstra-dial-skip,no_roads,arena,277,206.585000,1,1.000000
dijkstra-dial-skip,no_roads,arena,606,190.074000,1,1.000000
dijkstra-dial-skip,no_roads,arena,296,193.718000,1,1.000000
dijkstra-dial-skip,no_roads,arena,480,184.220000,1,1.000000
dijkstra-dial-skip,no_roads,arena,448,194.221000,1,1.000000
dijkstra-dial-skip,no_roads,arena,407,189.470000,1,1.000000
dijkstra-dial-skip,no_roads,arena,248,190.175000,1,1.000000
dijkstra-dial-skip,no_roads,arena,155,204.120000,1,1.000000
dijkstra-dial-skip,no_roads,arena,576,228.749000,1,1.000000
dijkstra-dial-skip,no_roads,arena,553,197.350000,1,1.000000
dijkstra-dial-skip,with_roads,arena,126,189.611000,1,1.000000
dijkstra-dial-skip,with_roads,arena,25,184.048000,1,1.000000
dijkstra-dial-skip,with_roads,arena,308,179.936000,1,1.000000
dijkstra-dial-skip,with_roads,arena,275,249.241000,1,1.000000
dijkstra-dial-skip,with_roads,arena,252,191.258000,1,1.000000
dijkstra-dial-skip,with_roads,arena,156,201.627000,1,1.000000
dijkstra-dial-skip,with_roads,arena,115,192.299000,1,1.000000
dijkstra-dial-skip,with_roads,arena,613,188.776000,1,1.000000
dijkstra-dial-skip,with_roads,arena,99,199.522000,1,1.000000
dijkstra-dial-skip,with_roads,arena,473,191.691000,1,1.000000
dijkstra-dial-skip,with_roads,arena,32,198.863000,1,1.000000
dijkstra-dial-skip,with_roads,arena,30,196.151000,1,1.000000
dijkstra-dial-skip,with_roads,arena,105,199.058000,1,1.000000
dijkstra-dial-skip,with_roads,arena,247,198.198000,1,1.000000
dijkstra-dial-skip,with_roads,arena,262,190.727000,1,1.000000
dijkstra-dial-skip,with_roads,arena,572,190.668000,1,1.000000
dijkstra-dial-skip,with_roads,arena,27,310.667000,1,1.000000
dijkstra-dial-skip,with_roads,arena,222,168.890000,1,1.000000
dijkstra-dial-skip,with_roads,arena,613,164.556000,1,1.000000
dijkstra-dial-skip,with_roads,arena,470,161.683000,1,1.000000
dijkstra-dial-skip,with_roads,arena,249,164.662000,1,1.000000
dijkstra-dial-skip,with_roads,arena,502,159.936000,1,1.000000
