algo,scenario,map,start,goal,n_goals,total_time_us,peak_step_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
bug-bug2,no_roads,ancient_tile,1556,243,1,1517.450000,224.413000,1,1,1.048780,1,129,43,1600
bug-bug2,no_roads,ancient_tile,55,667,1,570.430000,88.231000,1,1,1.000000,1,60,20,1600
bug-bug2,no_roads,ancient_tile,589,532,1,787.679000,113.208000,1,1,1.428571,0,90,30,1600
bug-bug2,no_roads,ancient_tile,310,223,1,289.324000,123.585000,1,1,1.000000,1,21,7,1600
bug-bug2,no_roads,ancient_tile,1349,189,1,1931.414000,182.452000,1,1,1.000000,1,87,29,1600
bug-bug2,no_roads,ancient_tile,1451,1028,1,849.075000,117.102000,1,1,1.000000,1,51,17,1600
bug-bug2,no_roads,ancient_tile,69,65,1,130.275000,46.169000,1,1,1.000000,1,12,4,1600
bug-bug2,no_roads,ancient_tile,203,516,1,1243.718000,147.176000,1,1,1.000000,1,99,33,1600
bug-bug2,no_roads,ancient_tile,561,1256,1,692.204000,99.318000,1,1,1.000000,1,63,21,1600
bug-bug2,no_roads,ancient_tile,1475,58,1,1447.837000,219.188000,1,1,1.081081,0,120,40,1600
bug-bug2,with_roads,ancient_tile,1556,243,1,1602.393000,201.364000,1,1,1.048780,1,129,43,1600
bug-bug2,with_roads,ancient_tile,55,667,1,777.104000,105.409000,1,1,1.000000,1,60,20,1600
bug-bug2,with_roads,ancient_tile,589,532,1,1126.969000,144.142000,1,1,1.428571,0,90,30,1600
bug-bug2,with_roads,ancient_tile,310,223,1,247.275000,48.442000,1,1,1.000000,1,21,7,1600
bug-bug2,with_roads,ancient_tile,1349,189,1,1217.261000,87.492000,1,1,1.000000,1,87,29,1600
bug-bug2,with_roads,ancient_tile,1451,1028,1,633.073000,72.429000,1,1,1.000000,1,51,17,1600
bug-bug2,with_roads,ancient_tile,69,65,1,110.032000,36.978000,1,1,1.000000,1,12,4,1600
bug-bug2,with_roads,ancient_tile,203,516,1,1704.039000,170.069000,1,1,1.000000,1,99,33,1600
bug-bug2,with_roads,ancient_tile,561,1256,1,992.305000,131.712000,1,1,1.000000,1,63,21,1600
bug-bug2,with_roads,ancient_tile,1475,58,1,1219.317000,157.245000,1,1,1.081081,0,120,40,1600
