algo,scenario,map,start,goal,time_us,reachable,reached_goal,opt_ratio,first_move_correct
astar-dial-cheb,no_roads,arena,126,25,70.4,0,,,
astar-dial-cheb,no_roads,arena,308,275,130.4,0,,,
astar-dial-cheb,no_roads,arena,252,156,56.8,0,,,
astar-dial-cheb,no_roads,arena,115,613,469.0,0,,,
astar-dial-cheb,no_roads,arena,99,473,170.2,0,,,
astar-dial-cheb,no_roads,arena,32,30,19.4,0,,,
astar-dial-cheb,no_roads,arena,105,247,335.0,0,,,
astar-dial-cheb,no_roads,arena,262,572,247.2,0,,,
astar-dial-cheb,no_roads,arena,27,222,369.1,0,,,
astar-dial-cheb,no_roads,arena,613,470,63.1,0,,,
astar-dial-cheb,no_roads,arena,249,502,408.4,0,,,
astar-dial-cheb,no_roads,arena,311,6,244.1,0,,,
astar-dial-cheb,no_roads,arena,178,473,419.1,0,,,
astar-dial-cheb,no_roads,arena,381,311,52.4,0,,,
astar-dial-cheb,no_roads,arena,174,242,59.3,0,,,
astar-dial-cheb,no_roads,arena,375,115,236.2,0,,,
astar-dial-cheb,no_roads,arena,104,427,218.7,0,,,
astar-dial-cheb,no_roads,arena,110,404,208.2,0,,,
astar-dial-cheb,no_roads,arena,388,297,150.7,0,,,
astar-dial-cheb,no_roads,arena,44,514,327.0,0,,,
astar-jps,no_roads,arena,126,25,81.4,0,,,
astar-jps,no_roads,arena,308,275,102.7,0,,,
astar-jps,no_roads,arena,252,156,69.0,0,,,
astar-jps,no_roads,arena,115,613,448.2,0,,,
astar-jps,no_roads,arena,99,473,83.1,0,,,
astar-jps,no_roads,arena,32,30,27.1,0,,,
astar-jps,no_roads,arena,105,247,334.1,0,,,
astar-jps,no_roads,arena,262,572,112.7,0,,,
astar-jps,no_roads,arena,27,222,358.9,0,,,
astar-jps,no_roads,arena,613,470,81.0,0,,,
astar-jps,no_roads,arena,249,502,321.2,0,,,
astar-jps,no_roads,arena,311,6,89.2,0,,,
astar-jps,no_roads,arena,178,473,315.2,0,,,
astar-jps,no_roads,arena,381,311,51.1,0,,,
astar-jps,no_roads,arena,174,242,57.1,0,,,
astar-jps,no_roads,arena,375,115,104.2,0,,,
astar-jps,no_roads,arena,104,427,125.9,0,,,
astar-jps,no_roads,arena,110,404,116.0,0,,,
astar-jps,no_roads,arena,388,297,75.0,0,,,
astar-jps,no_roads,arena,44,514,398.1,0,,,
astar-jps-dial,no_roads,arena,126,25,103.7,0,,,
astar-jps-dial,no_roads,arena,308,275,85.6,0,,,
astar-jps-dial,no_roads,arena,252,156,106.2,0,,,
astar-jps-dial,no_roads,arena,115,613,332.5,0,,,
astar-jps-dial,no_roads,arena,99,473,57.7,0,,,
astar-jps-dial,no_roads,arena,32,30,49.4,0,,,
astar-jps-dial,no_roads,arena,105,247,317.8,0,,,
astar-jps-dial,no_roads,arena,262,572,136.4,0,,,
astar-jps-dial,no_roads,arena,27,222,403.8,0,,,
astar-jps-dial,no_roads,arena,613,470,93.5,0,,,
astar-jps-dial,no_roads,arena,249,502,294.5,0,,,
astar-jps-dial,no_roads,arena,311,6,141.3,0,,,
astar-jps-dial,no_roads,arena,178,473,243.0,0,,,
astar-jps-dial,no_roads,arena,381,311,70.6,0,,,
astar-jps-dial,no_roads,arena,174,242,70.4,0,,,
astar-jps-dial,no_roads,arena,375,115,141.2,0,,,
astar-jps-dial,no_roads,arena,104,427,106.0,0,,,
astar-jps-dial,no_roads,arena,110,404,128.9,0,,,
astar-jps-dial,no_roads,arena,388,297,97.2,0,,,
astar-jps-dial,no_roads,arena,44,514,320.5,0,,,
astar-dial-cheb,with_roads,arena,126,25,28.3,0,,,
astar-dial-cheb,with_roads,arena,308,275,77.3,0,,,
astar-dial-cheb,with_roads,arena,252,156,56.5,0,,,
astar-dial-cheb,with_roads,arena,115,613,331.0,0,,,
astar-dial-cheb,with_roads,arena,99,473,182.4,0,,,
astar-dial-cheb,with_roads,arena,32,30,19.3,0,,,
astar-dial-cheb,with_roads,arena,105,247,390.2,0,,,
astar-dial-cheb,with_roads,arena,262,572,172.7,0,,,
astar-dial-cheb,with_roads,arena,27,222,443.1,0,,,
astar-dial-cheb,with_roads,arena,613,470,59.3,0,,,
astar-dial-cheb,with_roads,arena,249,502,306.7,0,,,
astar-dial-cheb,with_roads,arena,311,6,161.1,0,,,
astar-dial-cheb,with_roads,arena,178,473,333.9,0,,,
astar-dial-cheb,with_roads,arena,381,311,49.1,0,,,
astar-dial-cheb,with_roads,arena,174,242,65.5,0,,,
astar-dial-cheb,with_roads,arena,375,115,306.0,0,,,
astar-dial-cheb,with_roads,arena,104,427,209.4,0,,,
astar-dial-cheb,with_roads,arena,110,404,157.9,0,,,
astar-dial-cheb,with_roads,arena,388,297,222.4,0,,,
astar-dial-cheb,with_roads,arena,44,514,189.5,0,,,
astar-jps,with_roads,arena,126,25,50.6,0,,,
astar-jps,with_roads,arena,308,275,72.8,0,,,
astar-jps,with_roads,arena,252,156,64.4,0,,,
astar-jps,with_roads,arena,115,613,451.5,0,,,
astar-jps,with_roads,arena,99,473,82.8,0,,,
astar-jps,with_roads,arena,32,30,27.2,0,,,
astar-jps,with_roads,arena,105,247,323.6,0,,,
astar-jps,with_roads,arena,262,572,110.2,0,,,
astar-jps,with_roads,arena,27,222,369.6,0,,,
astar-jps,with_roads,arena,613,470,82.8,0,,,
astar-jps,with_roads,arena,249,502,316.3,0,,,
astar-jps,with_roads,arena,311,6,77.2,0,,,
astar-jps,with_roads,arena,178,473,322.0,0,,,
astar-jps,with_roads,arena,381,311,59.8,0,,,
astar-jps,with_roads,arena,174,242,57.3,0,,,
astar-jps,with_roads,arena,375,115,104.2,0,,,
