algo,scenario,map,start,goal,n_goals,total_time_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
astar-jps-mpsp,no_roads,arena,126,25,1,53.140000,1,1,1.000000,1,12,4,625
astar-jps-mpsp,no_roads,arena,308,275,1,63.138000,1,1,1.000000,1,24,8,625
astar-jps-mpsp,no_roads,arena,252,156,1,42.247000,1,1,1.000000,1,15,5,625
astar-jps-mpsp,no_roads,arena,115,613,1,74.082000,1,1,1.000000,1,60,20,625
astar-jps-mpsp,no_roads,arena,99,473,1,55.697000,1,1,1.000000,1,45,15,625
astar-jps-mpsp,no_roads,arena,32,30,1,22.053000,1,1,1.000000,1,6,2,625
astar-jps-mpsp,no_roads,arena,105,247,1,163.608000,1,1,1.000000,1,54,18,625
astar-jps-mpsp,no_roads,arena,262,572,1,44.469000,1,1,1.000000,1,36,12,625
astar-jps-mpsp,no_roads,arena,27,222,1,96.057000,1,1,1.000000,1,66,22,625
astar-jps-mpsp,no_roads,arena,613,470,1,34.845000,1,1,1.000000,1,21,7,625
astar-jps-mpsp,no_roads,arena,249,502,1,41.899000,1,1,1.000000,1,66,22,625
astar-jps-mpsp,no_roads,arena,311,6,1,37.966000,1,1,1.000000,1,36,12,625
astar-jps-mpsp,no_roads,arena,178,473,1,46.419000,1,1,1.000000,1,60,20,625
astar-jps-mpsp,no_roads,arena,381,311,1,34.916000,1,1,1.000000,1,15,5,625
astar-jps-mpsp,no_roads,arena,174,242,1,20.856000,1,1,1.000000,1,21,7,625
astar-jps-mpsp,no_roads,arena,375,115,1,65.801000,1,1,1.000000,1,45,15,625
astar-jps-mpsp,no_roads,arena,104,427,1,45.575000,1,1,1.000000,1,39,13,625
astar-jps-mpsp,no_roads,arena,110,404,1,32.215000,1,1,1.000000,1,36,12,625
astar-jps-mpsp,no_roads,arena,388,297,1,29.515000,1,1,1.000000,1,27,9,625
astar-jps-mpsp,no_roads,arena,44,514,1,62.942000,1,1,1.000000,1,57,19,625
astar-jps-mpsp,with_roads,arena,126,25,1,34.067000,1,1,1.000000,1,4,4,625
astar-jps-mpsp,with_roads,arena,308,275,1,48.829000,1,1,1.500000,1,18,8,625
astar-jps-mpsp,with_roads,arena,252,156,1,33.973000,1,1,1.300000,0,13,5,625
astar-jps-mpsp,with_roads,arena,115,613,1,59.335000,1,1,1.400000,0,56,20,625
astar-jps-mpsp,with_roads,arena,99,473,1,48.373000,1,1,1.000000,1,45,15,625
