algo,scenario,map,start,goal,n_goals,total_time_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
astar-jps-precomp,no_roads,arena,126,25,1,27.698000,1,1,1.000000,1,12,4,625
astar-jps-precomp,no_roads,arena,308,275,1,42.960000,1,1,1.000000,1,24,8,625
astar-jps-precomp,no_roads,arena,252,156,1,30.193000,1,1,1.000000,1,15,5,625
astar-jps-precomp,no_roads,arena,115,613,1,45.257000,1,1,1.000000,1,60,20,625
astar-jps-precomp,no_roads,arena,99,473,1,33.312000,1,1,1.000000,1,45,15,625
astar-jps-precomp,no_roads,arena,32,30,1,11.716000,1,1,1.000000,1,6,2,625
astar-jps-precomp,no_roads,arena,105,247,1,103.949000,1,1,1.000000,1,54,18,625
astar-jps-precomp,no_roads,arena,262,572,1,37.890000,1,1,1.000000,1,36,12,625
astar-jps-precomp,no_roads,arena,27,222,1,104.144000,1,1,1.000000,1,66,22,625
astar-jps-precomp,no_roads,arena,613,470,1,23.274000,1,1,1.000000,1,21,7,625
astar-jps-precomp,no_roads,arena,249,502,1,32.483000,1,1,1.000000,1,66,22,625
astar-jps-precomp,no_roads,arena,311,6,1,31.603000,1,1,1.000000,1,36,12,625
astar-jps-precomp,no_roads,arena,178,473,1,46.773000,1,1,1.000000,1,60,20,625
astar-jps-precomp,no_roads,arena,381,311,1,27.396000,1,1,1.000000,1,15,5,625
astar-jps-precomp,no_roads,arena,174,242,1,16.720000,1,1,1.000000,1,21,7,625
astar-jps-precomp,no_roads,arena,375,115,1,31.273000,1,1,1.000000,1,45,15,625
astar-jps-precomp,no_roads,arena,104,427,1,29.488000,1,1,1.000000,1,39,13,625
astar-jps-precomp,no_roads,arena,110,404,1,26.741000,1,1,1.000000,1,36,12,625
astar-jps-precomp,no_roads,arena,388,297,1,22.985000,1,1,1.000000,1,27,9,625
astar-jps-precomp,no_roads,arena,44,514,1,42.004000,1,1,1.000000,1,57,19,625
astar-jps-precomp,with_roads,arena,126,25,1,14.162000,1,1,1.000000,1,4,4,625
astar-jps-precomp,with_roads,arena,308,275,1,26.182000,1,1,1.500000,1,18,8,625
astar-jps-precomp,with_roads,arena,252,156,1,22.272000,1,1,1.300000,0,13,5,625
astar-jps-precomp,with_roads,arena,115,613,1,31.847000,1,1,1.400000,0,56,20,625
astar-jps-precomp,with_roads,arena,99,473,1,25.532000,1,1,1.000000,1,45,15,625
astar-jps-precomp,with_roads,arena,32,30,1,9.799000,1,1,1.000000,1,6,2,625
astar-jps-precomp,with_roads,arena,105,247,1,82.360000,1,1,1.384615,0,54,18,625
astar-jps-precomp,with_roads,arena,262,572,1,30.120000,1,1,1.500000,0,36,12,625
astar-jps-precomp,with_roads,arena,27,222,1,93.999000,1,1,1.466667,0,66,22,625
astar-jps-precomp,with_roads,arena,613,470,1,19.161000,1,1,1.055556,1,19,7,625
astar-jps-precomp,with_roads,arena,249,502,1,26.303000,1,1,1.260870,1,58,22,625
astar-jps-precomp,with_roads,arena,311,6,1,25.923000,1,1,1.714286,0,36,12,625
astar-jps-precomp,with_roads,arena,178,473,1,38.891000,1,1,1.933333,1,58,20,625
astar-jps-precomp,with_roads,arena,381,311,1,21.115000,1,1,1.222222,0,11,5,625
astar-jps-precomp,with_roads,arena,174,242,1,14.528000,1,1,1.000000,1,21,7,625
astar-jps-precomp,with_roads,arena,375,115,1,30.854000,1,1,1.228571,1,43,15,625
astar-jps-precomp,with_roads,arena,104,427,1,25.648000,1,1,1.320000,1,33,13,625
astar-jps-precomp,with_roads,arena,110,404,1,23.763000,1,1,1.166667,1,28,12,625
astar-jps-precomp,with_roads,arena,388,297,1,19.631000,1,1,1.173913,0,27,9,625
astar-jps-precomp,with_roads,arena,44,514,1,39.000000,1,1,1.358974,1,53,19,625
astar-jps-precomp,no_roads,bar_chart,319,72,1,19.767000,1,1,1.000000,1,21,7,1400
astar-jps-precomp,no_roads,bar_chart,769,673,1,49.242000,1,1,1.000000,1,78,26,1400
astar-jps-precomp,no_roads,bar_chart,612,392,1,31.031000,1,1,1.000000,1,30,10,1400
astar-jps-precomp,no_roads,bar_chart,293,249,1,134.725000,0,0,,,0,0,1400
astar-jps-precomp,no_roads,bar_chart,1165,91,1,10.967000,0,0,,,0,0,1400
astar-jps-precomp,no_roads,bar_chart,86,271,1,10.713000,0,0,,,0,0,1400
