algo,scenario,map,start,time_us,exact,worst_ratio
bfs,no_roads,1ti,527,21.788000,1,1.000000
bfs,no_roads,1ti,121,12.484000,1,1.000000
bfs,no_roads,1ti,71,10.720000,1,1.000000
bfs,no_roads,1ti,266,11.754000,1,1.000000
bfs,no_roads,1ti,262,11.108000,1,1.000000
bfs,no_roads,1ti,261,11.051000,1,1.000000
bfs,no_roads,1ti,122,10.845000,1,1.000000
bfs,no_roads,1ti,120,10.160000,1,1.000000
bfs,no_roads,1ti,552,12.201000,1,1.000000
bfs,no_roads,1ti,430,26.928000,1,1.000000
bfs-alloc,no_roads,1ti,527,16.713000,1,1.000000
bfs-alloc,no_roads,1ti,121,34.530000,1,1.000000
bfs-alloc,no_roads,1ti,71,12.893000,1,1.000000
bfs-alloc,no_roads,1ti,266,12.177000,1,1.000000
bfs-alloc,no_roads,1ti,262,15.746000,1,1.000000
bfs-alloc,no_roads,1ti,261,17.582000,1,1.000000
bfs-alloc,no_roads,1ti,122,18.034000,1,1.000000
bfs-alloc,no_roads,1ti,120,14.640000,1,1.000000
bfs-alloc,no_roads,1ti,552,12.211000,1,1.000000
bfs-alloc,no_roads,1ti,430,11.349000,1,1.000000
bfs-swap,no_roads,1ti,527,19.985000,1,1.000000
bfs-swap,no_roads,1ti,121,16.682000,1,1.000000
bfs-swap,no_roads,1ti,71,14.159000,1,1.000000
bfs-swap,no_roads,1ti,266,13.330000,1,1.000000
bfs-swap,no_roads,1ti,262,12.454000,1,1.000000
bfs-swap,no_roads,1ti,261,11.761000,1,1.000000
bfs-swap,no_roads,1ti,122,13.930000,1,1.000000
bfs-swap,no_roads,1ti,120,12.960000,1,1.000000
bfs-swap,no_roads,1ti,552,14.378000,1,1.000000
bfs-swap,no_roads,1ti,430,12.744000,1,1.000000
bfs-unrolled,no_roads,1ti,527,15.474000,1,1.000000
bfs-unrolled,no_roads,1ti,121,13.316000,1,1.000000
bfs-unrolled,no_roads,1ti,71,12.138000,1,1.000000
bfs-unrolled,no_roads,1ti,266,11.588000,1,1.000000
bfs-unrolled,no_roads,1ti,262,11.172000,1,1.000000
bfs-unrolled,no_roads,1ti,261,10.748000,1,1.000000
bfs-unrolled,no_roads,1ti,122,12.231000,1,1.000000
bfs-unrolled,no_roads,1ti,120,11.293000,1,1.000000
bfs-unrolled,no_roads,1ti,552,12.502000,1,1.000000
bfs-unrolled,no_roads,1ti,430,11.608000,1,1.000000
bfs,with_roads,1ti,527,14.539000,0,2.062500
bfs,with_roads,1ti,121,12.291000,0,3.000000
bfs,with_roads,1ti,71,10.881000,0,3.000000
bfs,with_roads,1ti,266,11.976000,0,3.000000
bfs,with_roads,1ti,262,11.851000,0,3.000000
bfs,with_roads,1ti,261,11.249000,0,3.000000
bfs,with_roads,1ti,122,11.292000,0,2.666667
bfs,with_roads,1ti,120,10.548000,0,3.000000
bfs,with_roads,1ti,552,11.626000,0,1.971429
bfs,with_roads,1ti,430,16.460000,0,2.700000
bfs-alloc,with_roads,1ti,527,14.075000,0,2.062500
bfs-alloc,with_roads,1ti,121,12.527000,0,3.000000
bfs-alloc,with_roads,1ti,71,11.391000,0,3.000000
bfs-alloc,with_roads,1ti,266,11.772000,0,3.000000
bfs-alloc,with_roads,1ti,262,11.014000,0,3.000000
bfs-alloc,with_roads,1ti,261,10.772000,0,3.000000
bfs-alloc,with_roads,1ti,122,11.892000,0,2.666667
