algo,scenario,map,start,goal,n_goals,total_time_us,peak_step_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
bug-bug2-bounded,no_roads,ancient_tile,1556,243,1,969.522000,119.270000,1,1,1.048780,1,129,43,1600
bug-bug2-bounded,no_roads,ancient_tile,55,667,1,350.585000,77.870000,1,1,1.000000,1,60,20,1600
bug-bug2-bounded,no_roads,ancient_tile,589,532,1,488.379000,67.502000,1,1,1.476190,0,93,31,1600
bug-bug2-bounded,no_roads,ancient_tile,310,223,1,106.922000,35.589000,1,1,1.000000,1,21,7,1600
bug-bug2-bounded,no_roads,ancient_tile,1349,189,1,406.789000,50.856000,1,1,1.000000,1,87,29,1600
bug-bug2-bounded,no_roads,ancient_tile,1451,1028,1,246.505000,55.415000,1,1,1.000000,1,51,17,1600
bug-bug2-bounded,no_roads,ancient_tile,69,65,1,83.195000,36.485000,1,1,1.000000,1,12,4,1600
bug-bug2-bounded,no_roads,ancient_tile,203,516,1,531.261000,74.225000,1,1,1.000000,1,99,33,1600
bug-bug2-bounded,no_roads,ancient_tile,561,1256,1,358.507000,83.193000,1,1,1.000000,1,63,21,1600
bug-bug2-bounded,no_roads,ancient_tile,1475,58,1,665.539000,81.880000,1,1,1.108108,1,123,41,1600
bug-bug2-bounded,with_roads,ancient_tile,1556,243,1,742.022000,72.729000,1,1,1.048780,1,129,43,1600
bug-bug2-bounded,with_roads,ancient_tile,55,667,1,373.809000,106.690000,1,1,1.000000,1,60,20,1600
bug-bug2-bounded,with_roads,ancient_tile,589,532,1,480.781000,58.872000,1,1,1.476190,0,93,31,1600
bug-bug2-bounded,with_roads,ancient_tile,310,223,1,99.612000,27.843000,1,1,1.000000,1,21,7,1600
bug-bug2-bounded,with_roads,ancient_tile,1349,189,1,389.288000,65.975000,1,1,1.000000,1,87,29,1600
bug-bug2-bounded,with_roads,ancient_tile,1451,1028,1,234.853000,44.031000,1,1,1.000000,1,51,17,1600
bug-bug2-bounded,with_roads,ancient_tile,69,65,1,80.502000,32.193000,1,1,1.000000,1,12,4,1600
bug-bug2-bounded,with_roads,ancient_tile,203,516,1,511.953000,57.362000,1,1,1.000000,1,99,33,1600
bug-bug2-bounded,with_roads,ancient_tile,561,1256,1,338.386000,64.998000,1,1,1.000000,1,63,21,1600
bug-bug2-bounded,with_roads,ancient_tile,1475,58,1,655.472000,71.939000,1,1,1.108108,1,123,41,1600
bug-bug2-bounded,no_roads,arena,124,25,1,348.680000,59.306000,1,1,1.000000,1,72,24,625
bug-bug2-bounded,no_roads,arena,301,268,1,233.840000,37.951000,1,1,1.000000,1,51,17,625
bug-bug2-bounded,no_roads,arena,245,153,1,205.301000,28.204000,1,1,1.000000,1,51,17,625
bug-bug2-bounded,no_roads,arena,113,599,1,286.153000,44.626000,1,1,1.000000,1,57,19,625
bug-bug2-bounded,no_roads,arena,98,462,1,233.057000,52.424000,1,1,1.000000,1,45,15,625
bug-bug2-bounded,no_roads,arena,32,30,1,37.894000,23.389000,1,1,1.000000,1,6,2,625
bug-bug2-bounded,no_roads,arena,104,237,1,104.821000,22.640000,1,1,1.000000,1,24,8,625
bug-bug2-bounded,no_roads,arena,256,551,1,186.824000,42.455000,1,1,1.000000,1,36,12,625
bug-bug2-bounded,no_roads,arena,27,615,1,333.258000,44.593000,1,1,1.000000,1,69,23,625
bug-bug2-bounded,no_roads,arena,216,599,1,231.309000,27.407000,1,1,1.000000,1,45,15,625
bug-bug2-bounded,with_roads,arena,124,25,1,345.563000,55.836000,1,1,1.489362,1,70,24,625
bug-bug2-bounded,with_roads,arena,301,268,1,236.890000,39.133000,1,1,1.592593,1,43,17,625
bug-bug2-bounded,with_roads,arena,245,153,1,207.988000,32.011000,1,1,1.580645,0,49,17,625
