algo,scenario,map,start,goal,time_us,reachable,reached_goal,opt_ratio,first_move_correct
astar-dial-apsp,no_roads,arena,126,25,67.7,1,1,1.000000,1
astar-dial-apsp,no_roads,arena,308,275,46.1,1,1,1.000000,1
astar-dial-apsp,no_roads,arena,252,156,19.2,1,1,1.000000,1
astar-dial-apsp,no_roads,arena,115,613,105.0,1,1,1.000000,1
astar-dial-apsp,no_roads,arena,99,473,39.2,1,1,1.000000,1
astar-dial-apsp,no_roads,arena,32,30,11.0,1,1,1.000000,1
astar-dial-apsp,no_roads,arena,105,247,62.8,1,1,1.000000,1
astar-dial-apsp,no_roads,arena,262,572,31.6,1,1,1.000000,1
astar-dial-apsp,no_roads,arena,27,222,82.1,1,1,1.000000,1
astar-dial-apsp,no_roads,arena,613,470,15.9,1,1,1.000000,1
astar-dial-bfs,no_roads,arena,126,25,225.1,1,1,1.000000,1
astar-dial-bfs,no_roads,arena,308,275,248.4,1,1,1.000000,1
astar-dial-bfs,no_roads,arena,252,156,210.7,1,1,1.000000,1
astar-dial-bfs,no_roads,arena,115,613,401.6,1,1,1.000000,1
astar-dial-bfs,no_roads,arena,99,473,298.9,1,1,1.000000,1
astar-dial-bfs,no_roads,arena,32,30,194.0,1,1,1.000000,1
astar-dial-bfs,no_roads,arena,105,247,359.6,1,1,1.000000,1
astar-dial-bfs,no_roads,arena,262,572,275.6,1,1,1.000000,1
astar-dial-bfs,no_roads,arena,27,222,382.9,1,1,1.000000,1
astar-dial-bfs,no_roads,arena,613,470,237.8,1,1,1.000000,1
astar-dial-apsp,with_roads,arena,126,25,56.0,1,1,1.000000,1
astar-dial-apsp,with_roads,arena,308,275,34.7,1,1,1.000000,1
astar-dial-apsp,with_roads,arena,252,156,16.7,1,1,1.000000,1
astar-dial-apsp,with_roads,arena,115,613,45.4,1,1,1.000000,1
astar-dial-apsp,with_roads,arena,99,473,39.4,1,1,1.000000,1
astar-dial-apsp,with_roads,arena,32,30,11.4,1,1,1.000000,1
astar-dial-apsp,with_roads,arena,105,247,28.8,1,1,1.000000,1
astar-dial-apsp,with_roads,arena,262,572,26.8,1,1,1.000000,1
astar-dial-apsp,with_roads,arena,27,222,33.2,1,1,1.000000,1
astar-dial-apsp,with_roads,arena,613,470,17.7,1,1,1.000000,1
