algo,scenario,map,start,goal,n_goals,total_time_us,peak_step_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
bug-bug0,no_roads,ancient_tile,1556,243,1,149.875000,149.875000,0,1,,,0,0,1600
bug-bug0,no_roads,ancient_tile,55,667,1,133.402000,117.633000,1,1,2.150000,1,129,43,1600
bug-bug0,no_roads,ancient_tile,589,532,1,65.616000,58.578000,1,1,1.142857,1,72,24,1600
bug-bug0,no_roads,ancient_tile,310,223,1,13.794000,11.648000,1,1,1.000000,1,21,7,1600
bug-bug0,no_roads,ancient_tile,1349,189,1,52.832000,52.832000,0,1,,,0,0,1600
bug-bug0,no_roads,ancient_tile,1451,1028,1,27.752000,22.893000,1,1,1.000000,1,51,17,1600
bug-bug0,no_roads,ancient_tile,69,65,1,9.755000,8.721000,1,1,1.000000,1,12,4,1600
bug-bug0,no_roads,ancient_tile,203,516,1,112.061000,112.061000,0,1,,,0,0,1600
bug-bug0,no_roads,ancient_tile,561,1256,1,34.775000,29.035000,1,1,1.000000,1,63,21,1600
bug-bug0,no_roads,ancient_tile,1475,58,1,80.267000,68.629000,1,1,1.135135,1,126,42,1600
bug-bug0,no_roads,ancient_tile,1385,458,1,43.990000,37.466000,1,1,1.041667,0,75,25,1600
bug-bug0,no_roads,ancient_tile,1578,1349,1,20.168000,20.168000,0,1,,,0,0,1600
bug-bug0,no_roads,ancient_tile,1022,521,1,50.799000,50.799000,0,1,,,0,0,1600
bug-bug0,no_roads,ancient_tile,1105,1448,1,23.246000,18.856000,1,1,1.000000,1,51,17,1600
bug-bug0,no_roads,ancient_tile,674,15,1,20.117000,20.117000,0,1,,,0,0,1600
bug-bug1,no_roads,ancient_tile,1556,243,1,313.388000,292.010000,1,1,1.585366,1,195,65,1600
bug-bug1,no_roads,ancient_tile,55,667,1,105.432000,99.159000,1,1,1.150000,1,69,23,1600
bug-bug1,no_roads,ancient_tile,589,532,1,14883.734000,14876.406000,1,1,1.238095,1,78,26,1600
bug-bug1,no_roads,ancient_tile,310,223,1,13.131000,11.021000,1,1,1.000000,1,21,7,1600
bug-bug1,no_roads,ancient_tile,1349,189,1,94.762000,87.133000,1,1,1.000000,1,87,29,1600
bug-bug1,no_roads,ancient_tile,1451,1028,1,14884.565000,14878.995000,1,1,1.058824,1,54,18,1600
bug-bug1,no_roads,ancient_tile,69,65,1,15.548000,14.218000,1,1,1.000000,1,12,4,1600
bug-bug1,no_roads,ancient_tile,203,516,1,258.377000,242.376000,1,1,1.757576,1,174,58,1600
bug-bug1,no_roads,ancient_tile,561,1256,1,99.824000,93.553000,1,1,1.142857,1,72,24,1600
bug-bug1,no_roads,ancient_tile,1475,58,1,179.244000,165.393000,1,1,1.405405,1,156,52,1600
