map,width,height,n,passable,scenario,n_roads,technique,weight,t_p50,t_p95,t_max,t_mean,exp_mean,o_mean,o_p95,o_max,nopath
arena,25,25,625,570,no_roads,0,dial_exact,0,196.6,338.3,421.4,190.0,294,1.0,1.0,1.0,0
arena,25,25,625,570,no_roads,0,astar_w1,1,197.9,429.1,550.4,211.1,240,1.0,1.0,1.0,0
arena,25,25,625,570,no_roads,0,astar_w3,3,117.6,310.2,418.8,131.9,142,1.0,1.0,1.0,0
arena,25,25,625,570,no_roads,0,astar_w5,5,46.0,145.7,285.6,55.8,52,1.0,1.0,1.0,0
arena,25,25,625,570,no_roads,0,astar_w_avg,5,42.1,155.7,256.7,56.8,52,1.0,1.0,1.0,0
arena,25,25,625,570,no_roads,0,astar_w_min,5,43.9,150.0,296.9,55.0,52,1.0,1.0,1.0,0
arena,25,25,625,570,no_roads,0,greedy,0,17.2,31.5,40.4,17.3,13,1.0845,1.3067,1.6579,0
arena,25,25,625,570,with_roads,31,dial_exact,0,195.4,335.1,376.2,189.0,292,1.0,1.0,1.0,0
arena,25,25,625,570,with_roads,31,astar_w1,1,189.0,424.7,649.0,201.5,219,1.0,1.0,1.0,0
arena,25,25,625,570,with_roads,31,astar_w3,3,78.4,256.3,360.9,98.6,98,1.0005,1.0,1.08,0
arena,25,25,625,570,with_roads,31,astar_w5,5,26.9,93.9,193.2,38.3,33,1.0582,1.2857,1.625,0
arena,25,25,625,570,with_roads,31,astar_w_avg,4,52.5,181.9,284.7,68.3,60,1.0037,1.0,1.3878,0
arena,25,25,625,570,with_roads,31,astar_w_min,1,186.8,417.0,464.5,195.5,219,1.0,1.0,1.0,0
arena,25,25,625,570,with_roads,31,greedy,0,17.4,30.7,41.6,17.1,13,1.2774,1.8654,2.6471,0
battlebot,21,29,609,456,no_roads,0,dial_exact,0,142.4,291.4,334.3,150.5,226,1.0,1.0,1.0,0
battlebot,21,29,609,456,no_roads,0,astar_w1,1,152.6,344.7,500.6,166.0,196,1.0,1.0,1.0,0
