map,tech,time_us,optimality,optimal_cost,n_roads
arena,dial_exact,680.1,1.0,154,84
arena,dial_exact,385.3,1.0,63,84
arena,dial_exact,435.6,1.0,70,84
arena,dial_exact,137.4,1.0,53,84
arena,dial_exact,104.7,1.0,35,84
arena,dial_exact,340.9,1.0,90,84
arena,dial_exact,542.9,1.0,91,84
arena,dial_exact,693.7,1.0,82,84
arena,dial_exact,294.5,1.0,44,84
arena,dial_exact,288.9,1.0,77,84
arena,dial_exact,323.9,1.0,122,84
arena,dial_exact,380.0,1.0,114,84
arena,dial_exact,576.5,1.0,119,84
arena,dial_exact,221.4,1.0,66,84
arena,dial_exact,531.6,1.0,101,84
arena,dial_exact,328.5,1.0,72,84
arena,dial_exact,73.3,1.0,34,84
arena,dial_exact,578.9,1.0,111,84
arena,dial_exact,449.2,1.0,79,84
arena,dial_exact,278.8,1.0,62,84
arena,dial_exact,238.6,1.0,57,84
arena,dial_exact,242.4,1.0,43,84
arena,dial_exact,99.6,1.0,30,84
arena,dial_exact,121.4,1.0,115,84
arena,dial_exact,296.3,1.0,61,84
arena,dial_exact,44.7,1.0,44,84
arena,dial_exact,134.5,1.0,38,84
arena,dial_exact,190.3,1.0,55,84
arena,dial_exact,285.0,1.0,71,84
arena,dial_exact,50.3,1.0,53,84
arena,dial_exact,246.6,1.0,79,84
arena,dial_exact,171.1,1.0,63,84
arena,dial_exact,53.4,1.0,22,84
arena,dial_exact,97.3,1.0,31,84
arena,dial_exact,198.3,1.0,47,84
arena,dial_exact,540.3,1.0,126,84
arena,dial_exact,476.8,1.0,116,84
arena,dial_exact,483.6,1.0,109,84
arena,dial_exact,256.0,1.0,57,84
arena,dial_exact,17.3,1.0,21,84
arena,dial_exact,463.2,1.0,109,84
arena,dial_exact,95.0,1.0,42,84
arena,dial_exact,339.6,1.0,70,84
arena,dial_exact,469.5,1.0,119,84
arena,dial_exact,475.6,1.0,141,84
arena,dial_exact,416.7,1.0,106,84
arena,dial_exact,469.2,1.0,130,84
arena,dial_exact,495.2,1.0,143,84
arena,dial_exact,92.5,1.0,39,84
arena,dial_exact,150.5,1.0,57,84
arena,dial_exact,428.9,1.0,68,84
arena,dial_exact,439.3,1.0,97,84
arena,dial_exact,345.7,1.0,63,84
arena,dial_exact,114.4,1.0,40,84
arena,dial_exact,331.5,1.0,77,84
arena,dial_exact,61.9,1.0,32,84
arena,dial_exact,372.8,1.0,84,84
arena,dial_exact,485.7,1.0,114,84
arena,dial_exact,429.4,1.0,110,84
arena,dial_exact,379.8,1.0,61,84
arena,dial_exact,415.4,1.0,110,84
arena,dial_exact,451.8,1.0,97,84
arena,dial_exact,334.5,1.0,59,84
arena,dial_exact,152.6,1.0,38,84
arena,dial_exact,193.4,1.0,71,84
arena,dial_exact,507.4,1.0,172,84
arena,dial_exact,202.4,1.0,37,84
arena,dial_exact,154.2,1.0,71,84
arena,dial_exact,185.1,1.0,40,84
arena,dial_exact,50.9,1.0,31,84
arena,dial_exact,477.8,1.0,108,84
arena,dial_exact,17.7,1.0,10,84
arena,dial_exact,124.8,1.0,41,84
arena,dial_exact,254.3,1.0,65,84
arena,dial_exact,271.6,1.0,97,84
arena,dial_exact,20.7,1.0,11,84
arena,dial_exact,507.5,1.0,135,84
arena,dial_exact,234.0,1.0,93,84
arena,dial_exact,266.7,1.0,60,84
arena,dial_exact,24.6,1.0,18,84
arena,dial_exact,208.6,1.0,62,84
arena,dial_exact,54.3,1.0,32,84
arena,dial_exact,318.2,1.0,78,84
arena,dial_exact,327.6,1.0,116,84
arena,dial_exact,328.2,1.0,54,84
arena,dial_exact,474.5,1.0,92,84
arena,dial_exact,483.0,1.0,147,84
arena,dial_exact,481.3,1.0,133,84
arena,dial_exact,157.1,1.0,68,84
arena,dial_exact,47.3,1.0,18,84
arena,dial_exact,400.3,1.0,88,84
arena,dial_exact,279.1,1.0,69,84
arena,dial_exact,320.8,1.0,80,84
arena,dial_exact,372.6,1.0,75,84
arena,dial_exact,59.9,1.0,52,84
arena,dial_exact,405.9,1.0,96,84
arena,dial_exact,14.0,1.0,6,84
arena,dial_exact,35.6,1.0,42,84
arena,dial_exact,421.0,1.0,61,84
arena,dial_exact,144.9,1.0,30,84
arena,dial_exact,463.1,1.0,93,84
arena,dial_exact,449.4,1.0,80,84
arena,dial_exact,289.1,1.0,77,84
arena,dial_exact,463.4,1.0,123,84
arena,dial_exact,201.8,1.0,90,84
arena,dial_exact,118.3,1.0,39,84
arena,dial_exact,318.9,1.0,91,84
arena,dial_exact,127.8,1.0,39,84
arena,dial_exact,278.6,1.0,117,84
arena,dial_exact,448.3,1.0,91,84
arena,dial_exact,196.3,1.0,56,84
arena,dial_exact,473.4,1.0,87,84
arena,dial_exact,111.8,1.0,32,84
arena,dial_exact,22.1,1.0,25,84
arena,dial_exact,115.2,1.0,43,84
arena,dial_exact,303.4,1.0,80,84
arena,dial_exact,608.1,1.0,96,84
arena,dial_exact,453.1,1.0,112,84
arena,dial_exact,77.1,1.0,34,84
arena,dial_exact,156.9,1.0,57,84
arena,dial_exact,398.5,1.0,104,84
arena,dial_exact,536.5,1.0,159,84
arena,dial_exact,203.4,1.0,53,84
arena,dial_exact,6.0,1.0,2,84
arena,dial_exact,511.7,1.0,100,84
arena,dial_exact,180.5,1.0,38,84
arena,dial_exact,34.0,1.0,52,84
arena,dial_exact,26.6,1.0,15,84
arena,dial_exact,319.5,1.0,90,84
arena,dial_exact,153.0,1.0,39,84
arena,dial_exact,29.7,1.0,13,84
arena,dial_exact,210.0,1.0,59,84
arena,dial_exact,78.9,1.0,33,84
arena,dial_exact,152.4,1.0,60,84
arena,dial_exact,234.7,1.0,75,84
arena,dial_exact,152.5,1.0,45,84
arena,dial_exact,197.7,1.0,111,84
arena,dial_exact,44.1,1.0,24,84
arena,dial_exact,215.5,1.0,62,84
arena,dial_exact,117.2,1.0,48,84
arena,dial_exact,152.8,1.0,44,84
arena,dial_exact,366.2,1.0,87,84
arena,dial_exact,96.3,1.0,45,84
arena,dial_exact,422.4,1.0,107,84
arena,dial_exact,316.0,1.0,94,84
arena,dial_exact,351.8,1.0,71,84
arena,dial_exact,261.7,1.0,54,84
arena,dial_exact,224.6,1.0,78,84
arena,dial_exact,408.4,1.0,92,84
arena,dial_exact,205.0,1.0,53,84
arena,dial_exact,216.5,1.0,43,84
arena,dial_exact,84.8,1.0,27,84
arena,dial_exact,393.1,1.0,100,84
arena,dial_exact,42.7,1.0,20,84
arena,dial_exact,316.7,1.0,76,84
arena,dial_exact,318.3,1.0,94,84
arena,dial_exact,119.1,1.0,46,84
arena,dial_exact,176.3,1.0,42,84
arena,dial_exact,114.5,1.0,40,84
arena,dial_exact,431.8,1.0,140,84
arena,dial_exact,123.0,1.0,52,84
arena,dial_exact,207.1,1.0,41,84
arena,dial_exact,249.7,1.0,78,84
arena,dial_exact,171.0,1.0,62,84
arena,dial_exact,333.7,1.0,87,84
arena,dial_exact,215.4,1.0,76,84
arena,dial_exact,498.4,1.0,107,84
arena,dial_exact,133.5,1.0,71,84
arena,dial_exact,250.2,1.0,72,84
arena,dial_exact,586.0,1.0,109,84
arena,dial_exact,137.4,1.0,47,84
arena,dial_exact,300.5,1.0,61,84
arena,dial_exact,357.9,1.0,62,84
arena,dial_exact,425.2,1.0,95,84
