map,width,height,n_tiles,n_passable,heuristic,pairs_tested,tles,incorrect,mean_time_us,time_p0.05_us,time_p0.25_us,time_p0.50_us,time_p0.75_us,time_p0.95_us,time_p1.00_us,mean_expansions,exp_p0.05,exp_p0.25,exp_p0.50,exp_p0.75,exp_p0.95,exp_p1.00
arena,25,25,625,584,manhattan,200,0,28,44.2,14.18,24.45,38.73,53.06,88.51,292.47,14.7,4.0,8.0,13.0,17.0,32.0,113.0
arena,25,25,625,584,chebyshev,200,0,0,123.06,18.45,43.17,87.7,164.43,368.03,748.32,40.5,4.0,13.8,29.5,55.5,119.5,254.0
arena,25,25,625,584,landmark_k4,200,0,0,228.77,19.44,54.8,137.94,359.5,682.12,930.21,70.0,4.0,14.0,40.0,112.5,215.1,297.0
arena,25,25,625,584,landmark_k8,200,0,0,200.06,25.98,66.57,126.24,270.02,595.51,788.37,44.9,4.0,13.0,29.0,59.2,137.0,204.0
arena,25,25,625,584,landmark_k12,200,0,0,214.7,33.87,84.23,151.06,287.56,632.34,1031.17,38.4,4.0,13.0,28.0,53.2,115.1,157.0
arena,25,25,625,584,landmark_k16,200,0,0,248.36,38.98,92.02,184.18,342.74,677.92,977.53,37.8,4.0,13.0,28.0,53.2,112.1,149.0
arena,25,25,625,584,landmark_k24,200,0,0,313.18,49.92,126.41,233.4,426.02,810.51,1250.23,37.3,4.0,13.0,27.5,52.2,111.0,149.0
arena,25,25,625,584,landmark_k32,200,0,0,385.63,61.17,159.72,286.34,526.35,1064.04,1618.87,37.2,4.0,13.0,27.0,52.2,110.0,147.0
arena,25,25,625,584,landmark_k64,200,0,0,664.87,117.1,271.7,474.13,926.92,1702.71,2481.83,36.9,4.0,13.0,25.5,51.5,109.0,146.0
arena,25,25,625,584,apsp,200,0,0,90.48,12.41,36.17,64.21,125.09,247.3,356.69,36.5,4.0,13.0,25.0,51.5,106.1,141.0
battlebot,21,29,609,479,manhattan,200,0,46,133.66,12.49,29.8,50.84,99.85,715.65,1530.88,53.7,3.0,10.0,18.0,38.0,278.6,613.0
battlebot,21,29,609,479,chebyshev,200,0,0,205.64,14.4,43.43,105.29,241.41,856.62,1275.87,78.1,4.0,13.0,38.5,91.2,339.5,466.0
battlebot,21,29,609,479,landmark_k4,200,0,0,185.79,16.53,51.55,142.49,273.83,557.55,799.1,59.4,4.0,15.8,44.0,87.8,170.5,253.0
battlebot,21,29,609,479,landmark_k8,200,0,0,200.22,21.5,58.59,151.9,274.19,583.25,845.42,50.7,4.0,13.0,39.0,73.0,148.1,214.0
battlebot,21,29,609,479,landmark_k12,200,0,0,223.85,25.16,68.7,162.82,303.95,661.97,969.16,47.1,4.0,13.0,34.0,66.0,143.2,214.0
battlebot,21,29,609,479,landmark_k16,200,0,0,268.24,30.74,84.26,217.31,356.44,776.62,1226.51,45.4,4.0,13.0,32.0,61.0,130.6,214.0
battlebot,21,29,609,479,landmark_k24,200,0,0,347.67,43.41,113.5,261.88,451.9,959.83,1604.64,43.5,4.0,12.8,31.5,57.0,126.8,214.0
battlebot,21,29,609,479,landmark_k32,200,0,0,387.75,49.58,127.03,295.89,518.93,1083.1,1782.65,43.1,4.0,12.0,31.0,57.0,126.8,214.0
battlebot,21,29,609,479,landmark_k64,200,0,0,639.91,85.34,216.17,486.4,849.23,1872.79,3091.89,41.8,4.0,11.8,30.0,54.2,126.8,214.0
battlebot,21,29,609,479,apsp,200,0,0,95.67,11.1,30.73,67.0,127.33,310.19,480.55,41.2,4.0,11.0,29.5,54.2,126.8,214.0
chemistry_class,40,40,1600,1478,manhattan,200,0,27,115.53,13.98,43.33,71.5,109.29,323.06,1235.29,40.9,4.0,14.0,25.0,38.0,130.1,450.0
chemistry_class,40,40,1600,1478,chebyshev,200,0,0,356.9,20.74,100.17,248.99,551.78,887.58,2789.83,117.4,5.0,34.0,87.5,183.8,287.8,756.0
chemistry_class,40,40,1600,1478,landmark_k4,200,0,0,482.65,27.04,136.51,350.2,716.26,1449.2,2311.92,145.0,5.0,37.0,110.0,208.2,443.5,680.0
chemistry_class,40,40,1600,1478,landmark_k8,200,0,0,469.91,30.97,162.48,362.81,691.47,1208.59,2018.11,106.0,5.0,34.8,78.5,157.2,287.3,441.0
chemistry_class,40,40,1600,1478,landmark_k12,200,0,0,537.01,42.07,190.93,403.83,783.64,1406.77,2124.32,89.8,5.0,29.8,66.0,134.0,252.1,326.0
chemistry_class,40,40,1600,1478,landmark_k16,200,0,0,593.12,41.58,198.93,439.06,840.54,1756.7,2780.36,89.2,5.0,29.0,65.5,131.8,250.1,326.0
chemistry_class,40,40,1600,1478,landmark_k24,200,0,0,717.67,62.04,257.73,549.68,1006.6,1901.91,2655.61,86.6,5.0,29.0,64.5,127.2,241.4,326.0
