algo,scenario,map,si,gi,time_us,reachable,reached_goal,opt_ratio,first_move_correct
astar bucket cheb w=1,no_roads,arena,126,25,113.4,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,308,275,257.4,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,252,156,130.3,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,115,613,1183.8,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,99,473,429.5,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,32,30,29.1,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,105,247,853.6,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,262,572,489.1,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,27,222,843.6,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,613,470,105.7,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,249,502,987.5,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,311,6,572.6,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,178,473,948.5,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,381,311,102.8,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,174,242,117.2,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,375,115,519.4,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,104,427,472.5,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,110,404,572.5,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,388,297,485.2,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,44,514,901.1,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,604,139,719.9,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,425,88,422.7,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,620,328,567.5,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,407,214,204.2,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,78,46,606.9,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,257,324,1204.2,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,89,262,140.3,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,114,427,623.5,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,311,508,232.7,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,410,181,293.0,1,1,1.000000,1
astar bucket cheb w=1,no_roads,arena,416,399,309.8,1,1,1.000000,1
