map,width,height,n_tiles,n_passable,technique,pairs_tested,nopath,invalid,time_p50_us,time_p95_us,time_p99_us,time_max_us,time_mean_us,opt_p50,opt_p95,opt_max,opt_mean
arena,25,25,625,584,astar_heap,200,0,0,197.7,433.3,482.1,545.1,208.3,1.0,1.0,1.0,1.0
arena,25,25,625,584,dial_exact,200,0,0,179.8,326.3,424.3,473.8,181.4,1.0,1.0,1.0,1.0
arena,25,25,625,584,dial_backward,200,0,0,176.1,345.3,386.1,398.0,182.0,1.0,1.0,1.0,1.0
arena,25,25,625,584,weighted_3,200,0,0,110.0,345.4,376.6,380.2,126.4,1.0,1.0,1.0,1.0
arena,25,25,625,584,weighted_5,200,0,0,34.3,128.2,184.9,306.1,47.8,1.0,1.0,1.0,1.0
arena,25,25,625,584,weighted_8,200,0,0,17.9,38.7,52.0,52.5,19.6,1.0,1.0692,1.1268,1.0085
arena,25,25,625,584,greedy_bfs,200,0,0,15.4,31.6,37.1,45.4,16.3,1.0426,1.2735,1.507,1.0693
arena,25,25,625,584,greedy_walk,200,1,0,7.2,13.6,21.8,24.6,7.7,1.0312,1.3171,2.7108,1.0757
arena,25,25,625,584,dial500_greedy,200,0,0,200.3,331.9,356.4,364.4,190.4,1.0,1.0,1.1268,1.0014
arena,25,25,625,584,dial1000_greedy,200,0,0,188.2,354.7,384.4,413.0,193.2,1.0,1.0,1.0,1.0
battlebot,21,29,609,479,astar_heap,200,0,1,147.6,357.4,399.0,577.6,169.6,1.0,1.0,1.0,1.0
battlebot,21,29,609,479,dial_exact,200,0,1,141.8,277.7,306.9,312.6,143.8,1.0,1.0,1.0,1.0
battlebot,21,29,609,479,dial_backward,200,0,1,165.8,302.5,316.8,339.2,160.0,1.0,1.0,1.0,1.0
battlebot,21,29,609,479,weighted_3,200,0,1,91.4,346.7,397.9,451.8,128.2,1.0,1.0,1.0,1.0
battlebot,21,29,609,479,weighted_5,200,0,1,45.3,349.0,522.9,555.6,80.0,1.0,1.0,1.0,1.0
battlebot,21,29,609,479,weighted_8,200,0,1,22.8,368.2,776.7,1074.8,65.9,1.0,1.0828,1.232,1.0138
battlebot,21,29,609,479,greedy_bfs,200,0,1,17.0,144.7,224.2,230.3,31.1,1.0488,1.7635,4.8387,1.203
battlebot,21,29,609,479,greedy_walk,200,22,1,9.1,55.5,114.3,125.1,15.6,1.0503,5.2344,8.8125,1.5663
battlebot,21,29,609,479,dial500_greedy,200,0,1,152.8,302.4,325.8,325.9,156.8,1.0,1.0,1.0,1.0
battlebot,21,29,609,479,dial1000_greedy,200,0,1,152.3,301.6,319.4,355.8,156.6,1.0,1.0,1.0,1.0
chemistry_class,40,40,1600,1478,astar_heap,200,0,0,503.4,1262.9,1387.6,1392.5,564.0,1.0,1.0,1.0,1.0
chemistry_class,40,40,1600,1478,dial_exact,200,0,0,449.0,849.5,911.1,1156.3,445.8,1.0,1.0,1.0,1.0
chemistry_class,40,40,1600,1478,dial_backward,200,0,0,499.5,844.7,914.6,940.7,476.9,1.0,1.0,1.0,1.0
chemistry_class,40,40,1600,1478,weighted_3,200,0,0,304.7,904.2,1087.2,1203.6,352.2,1.0,1.0,1.0,1.0
chemistry_class,40,40,1600,1478,weighted_5,200,0,0,100.7,387.6,748.7,2249.4,150.4,1.0,1.0,1.0,1.0
chemistry_class,40,40,1600,1478,weighted_8,200,0,0,37.1,216.9,302.8,361.7,57.7,1.0,1.1125,1.2471,1.0188
chemistry_class,40,40,1600,1478,greedy_bfs,200,0,0,28.9,64.6,89.6,115.7,31.0,1.0524,1.5469,1.8383,1.1226
chemistry_class,40,40,1600,1478,greedy_walk,200,2,0,15.0,39.4,59.3,108.5,16.7,1.0512,3.2245,6.3333,1.3286
chemistry_class,40,40,1600,1478,dial500_greedy,200,1,0,326.7,376.8,388.0,407.4,287.3,1.0,1.457,5.7524,1.1263
chemistry_class,40,40,1600,1478,dial1000_greedy,200,0,0,478.2,694.7,859.4,921.7,437.7,1.0,1.0213,2.1129,1.0138
cinnamon_roll,30,30,900,730,astar_heap,200,0,0,248.2,546.6,613.3,650.0,261.9,1.0,1.0,1.0,1.0
cinnamon_roll,30,30,900,730,dial_exact,200,0,0,236.4,418.5,430.5,439.5,227.8,1.0,1.0,1.0,1.0
cinnamon_roll,30,30,900,730,dial_backward,200,0,0,238.3,428.0,457.8,465.3,236.9,1.0,1.0,1.0,1.0
cinnamon_roll,30,30,900,730,weighted_3,200,0,0,143.2,418.6,461.1,483.6,174.5,1.0,1.0,1.0,1.0
cinnamon_roll,30,30,900,730,weighted_5,200,0,0,60.5,210.4,285.7,293.5,79.4,1.0,1.0,1.0,1.0
cinnamon_roll,30,30,900,730,weighted_8,200,0,0,28.0,81.2,207.5,320.5,35.2,1.0,1.1309,1.2136,1.026
cinnamon_roll,30,30,900,730,greedy_bfs,200,0,0,20.5,40.6,47.4,49.5,20.9,1.0488,1.3934,1.9808,1.1038
cinnamon_roll,30,30,900,730,greedy_walk,200,19,0,11.0,27.3,50.6,58.8,11.9,1.0688,2.0139,5.3529,1.234
cinnamon_roll,30,30,900,730,dial500_greedy,200,3,0,261.4,361.2,380.8,380.9,225.3,1.0,1.0606,4.2718,1.0407
cinnamon_roll,30,30,900,730,dial1000_greedy,200,0,0,254.7,445.7,479.8,509.3,246.6,1.0,1.0,1.0,1.0
corridors,31,31,961,786,astar_heap,200,0,0,250.7,587.4,658.3,664.4,274.8,1.0,1.0,1.0,1.0
corridors,31,31,961,786,dial_exact,200,0,0,228.0,429.5,478.8,485.2,236.3,1.0,1.0,1.0,1.0
corridors,31,31,961,786,dial_backward,200,0,0,243.8,492.8,524.3,531.4,256.5,1.0,1.0,1.0,1.0
corridors,31,31,961,786,weighted_3,200,0,0,168.3,545.3,661.3,666.3,210.9,1.0,1.0,1.0,1.0
corridors,31,31,961,786,weighted_5,200,0,0,96.4,465.1,606.0,677.9,141.6,1.0,1.0,1.0,1.0
corridors,31,31,961,786,weighted_8,200,0,0,68.7,371.3,497.2,591.8,107.9,1.0,1.0519,1.243,1.0072
corridors,31,31,961,786,greedy_bfs,200,0,0,39.3,132.9,165.9,181.4,50.3,1.0278,1.5701,2.6972,1.1125
corridors,31,31,961,786,greedy_walk,200,57,0,23.0,78.3,138.1,188.6,31.1,1.2037,6.719,17.4062,2.4234
corridors,31,31,961,786,dial500_greedy,200,15,0,259.8,377.9,413.4,414.9,234.1,1.0,1.9155,4.3497,1.1032
