map,scenario,n,passable,wall_pct,avg_degree,n_roads,road_frac,tort_p50,tort_p95,tort_max,w1_exp,w3_exp,w5_exp,w2_opt,w3_opt,w4_opt,w5_opt
arena,no_roads,625,570,8.8,6.86,0,0.0,1.047,1.193,2.6,240,142,52,1.0,1.0,1.0,1.0
arena,with_roads,625,570,8.8,6.86,29,0.051,4.667,5.5,13.0,222,102,34,1.0,1.08,1.2807,1.625
battlebot,no_roads,609,456,25.1,5.47,0,0.0,1.067,3.133,19.0,197,137,72,1.0,1.0,1.0,1.0
battlebot,with_roads,609,456,25.1,5.47,43,0.094,4.611,13.0,68.667,176,102,64,1.0755,1.3411,1.6567,3.0
chemistry_class,no_roads,1600,1434,10.4,7.0,0,0.0,1.056,1.344,2.7,625,385,138,1.0,1.0,1.0,1.0
chemistry_class,with_roads,1600,1434,10.4,7.0,63,0.044,4.688,5.75,13.5,570,281,109,1.0825,1.1546,1.2832,2.2403
cinnamon_roll,no_roads,900,712,20.9,6.06,0,0.0,1.061,1.5,2.6,289,176,68,1.0,1.0,1.0,1.0
cinnamon_roll,with_roads,900,712,20.9,6.06,41,0.058,5.05,6.667,12.167,280,150,50,1.0392,1.3636,1.3696,1.6522
corridors,no_roads,961,748,22.2,5.68,0,0.0,1.432,3.717,6.6,321,225,126,1.0,1.0,1.0,1.0
corridors,with_roads,961,748,22.2,5.68,53,0.071,5.625,17.0,31.75,321,192,115,1.0251,1.0945,1.1084,2.25
default_large1,no_roads,1600,1444,9.8,7.07,0,0.0,1.05,1.371,3.85,611,359,123,1.0,1.0,1.0,1.0
default_large1,with_roads,1600,1444,9.8,7.07,80,0.055,3.8,5.727,19.25,505,171,68,1.0625,1.2353,1.5317,2.1554
default_large2,no_roads,1500,1266,15.6,6.92,0,0.0,1.1,1.675,3.233,554,355,148,1.0,1.0,1.0,1.0
default_large2,with_roads,1500,1266,15.6,6.92,80,0.063,3.711,7.071,12.0,440,192,102,1.0196,1.219,1.6733,2.3247
default_medium1,no_roads,900,816,9.3,6.95,0,0.0,1.05,1.35,1.645,337,198,71,1.0,1.0,1.0,1.0
default_medium1,with_roads,900,816,9.3,6.95,32,0.039,5.088,6.389,7.3,327,176,57,1.1087,1.128,1.1986,2.0811
default_medium2,no_roads,900,814,9.6,6.89,0,0.0,1.055,1.293,1.567,364,217,76,1.0,1.0,1.0,1.0
default_medium2,with_roads,900,814,9.6,6.89,56,0.069,4.326,5.769,7.833,324,150,49,1.0276,1.2056,1.8305,2.5556
default_small1,no_roads,400,360,10.0,6.58,0,0.0,1.047,1.186,2.1,152,91,32,1.0,1.0,1.0,1.0
default_small1,with_roads,400,360,10.0,6.58,8,0.022,5.214,5.929,10.5,152,89,32,1.0,1.0,1.0494,1.1732
default_small2,no_roads,441,373,15.4,6.24,0,0.0,1.067,1.614,6.35,158,105,48,1.0,1.0,1.0,1.0
default_small2,with_roads,441,373,15.4,6.24,31,0.083,5.062,6.95,16.25,147,85,42,1.1026,1.1105,1.746,2.2
dna,no_roads,1050,804,23.4,6.19,0,0.0,1.207,2.879,3.657,299,250,165,1.0,1.0,1.0,1.0
dna,with_roads,1050,804,23.4,6.19,71,0.088,4.132,8.382,12.25,265,170,155,1.0258,1.0641,1.3467,2.6744
face,no_roads,400,350,12.5,6.47,0,0.0,1.05,1.289,1.462,144,87,33,1.0,1.0,1.0,1.0
face,with_roads,400,350,12.5,6.47,26,0.074,5.091,6.0,7.0,138,75,26,1.0,1.0648,1.3125,1.7091
galaxy,no_roads,1600,1442,9.9,7.04,0,0.0,1.054,1.261,2.65,577,329,110,1.0,1.0,1.0,1.0
galaxy,with_roads,1600,1442,9.9,7.04,71,0.049,4.905,6.125,13.25,556,273,85,1.119,1.3922,1.4314,1.5882
hooks,no_roads,961,797,17.1,6.33,0,0.0,1.1,1.57,3.1,337,209,85,1.0,1.0,1.0,1.0
hooks,with_roads,961,797,17.1,6.33,54,0.068,4.52,6.429,15.5,304,145,61,1.0986,1.1739,1.2202,1.5398
hourglass,no_roads,1215,1011,16.8,6.6,0,0.0,1.033,1.26,1.3,119,80,31,1.0,1.0,1.0,1.0
hourglass,with_roads,1215,1011,16.8,6.6,0,0.0,1.033,1.26,1.3,119,80,31,1.0,1.0,1.0,1.0
landscape,no_roads,900,758,15.8,6.52,0,0.0,1.06,1.415,1.688,344,207,77,1.0,1.0,1.0,1.0
landscape,with_roads,900,758,15.8,6.52,31,0.041,5.075,6.786,8.438,326,187,63,1.0662,1.1667,1.4186,1.4186
minimaze,no_roads,625,446,28.6,5.34,0,0.0,1.285,2.7,3.5,174,117,68,1.0,1.0,1.0,1.0
minimaze,with_roads,625,446,28.6,5.34,61,0.137,4.938,10.083,16.75,162,91,51,1.1746,1.5556,1.9259,1.9259
pls_buy_cucats_merch,no_roads,2401,2081,13.3,6.8,0,0.0,1.071,1.384,1.589,827,475,164,1.0,1.0,1.0,1.0
pls_buy_cucats_merch,with_roads,2401,2081,13.3,6.8,66,0.032,4.55,6.318,7.944,728,327,117,1.0,1.4444,1.6267,2.2444
shish_kebab,no_roads,400,336,16.0,6.48,0,0.0,1.075,1.386,2.15,141,84,34,1.0,1.0,1.0,1.0
shish_kebab,with_roads,400,336,16.0,6.48,32,0.095,4.429,6.643,10.75,130,59,27,1.0,1.2258,2.0,3.0909
thread_of_connection,no_roads,400,304,24.0,5.61,0,0.0,1.26,3.667,5.08,139,111,74,1.0,1.0,1.0,1.0
thread_of_connection,with_roads,400,304,24.0,5.61,21,0.069,5.529,15.1,23.583,133,103,74,1.0,1.0769,1.0845,1.5714
tree_of_life,no_roads,1170,1041,11.0,6.87,0,0.0,1.055,1.456,1.98,417,255,94,1.0,1.0,1.0,1.0
tree_of_life,with_roads,1170,1041,11.0,6.87,48,0.046,5.125,6.654,9.188,385,196,76,1.013,1.2697,1.3696,3.0492
wasteland,no_roads,1600,1156,27.7,5.43,0,0.0,1.057,1.229,1.417,461,265,95,1.0,1.0,1.0,1.0
